profile,job_title,experience,salary,location,job_description,tech_stack
DS,Data Scientist - Machine Learning/Python,3-8 Yrs ,,,"- You have at least 2 year experience, ideally within a Statistician role You possess s...","['Python', 'Predictive Modeling', 'R', 'Data Scientist', 'Data Management', 'Machine Learning', 'SQL', 'Management']"
DS,Data Scientist,4-10 Yrs ,,,Graduate degree in Data Science or another quantitative field is preferredPractical exp...,"['C++', 'MS SQL', 'Data modeling', 'MySQL', 'OLAP', 'Oracle', 'Business intelligence', 'Middleware']"
DS,Senior Data Scientist,10-12 Yrs ,,,"Bachelors or Masters degree in Computer Science, Statistics, Mathematics, or a related ...","['Computer science', 'Product quality', 'data science', 'Analytical', 'Software Development Manager', 'Debugging', 'microsoft', 'Web content']"
DS,Data Scientist,3-6 Yrs ,,,. No of years experience 6+ years - 10 Years Detailed job description - Skill Set: Core...,"['deep learning', 'data science', 'devops', 'Machine learning', 'Cloud', 'Data collection', 'Infrastructure', 'Deployment']"
DS,Lead Data Scientist,10-20 Yrs ,,,"Qualifications: . PhD or Masters degree in a relevant field (e.g., Computer Science, Ma...","['Data Science', 'foundation model development', 'model integration', 'Deep Learning', 'Python', 'Development', 'Foundation', 'Data']"
DS,Data Scientists,2-7 Yrs ,,,"""Data Scientists Practice Lead Analytics-","['Help Desk', 'Customer Service', 'customer relationship', 'access controls', 'Telephony support', 'Asset Management', 'Vendor Management', 'Information']"
DS,Data scientist / ML engineer -- US MNC (analytics),5-10 Yrs ,,,"Has experience working on unstructured data ( text ): Text cleaning, TFIDF, text vector...","['Python', 'Tensorflow', 'Predictive Modeling', 'Matplotlib', 'Pyspark', 'Logistic Regression', 'Natural Language Processing', 'Neural Networks']"
DS,Senior Data Scientist - Manufacturing Project,3-5 Yrs ,,,The ideal candidate should have a solid and proven track record in building data-driven...,"['Data Science', 'pandas', 'python', 'data analytics', 'manufacturing', 'sklearn', 'plotly', 'numpy']"
DS,Data Science Engineer,4-8 Yrs ,,,"Job descriptionAs a Data Science Engineer at Phonologies, you will be a key contributor...","['Data Science', 'Natural Language Processing', 'Machine Learning Algorithms', 'Jupyter Notebook', 'Pytorch', 'SLM', 'Large language model', 'named entity recognition']"
DS,ML / Data Scientist,0-2 Yrs ,,,The candidate should have a Bachelor s Degree . . . . 0-2 years of experience in ML / D...,"['software architecture', 'Statistical analysis', 'PDF', 'data science', 'Data modeling', 'Analytical', 'Machine learning', 'Data structures']"
DS,Data Scientist - Financial Services - Mumbai,9-14 Yrs ,,,Ability to self-process the data and come out with models/ insights is a must. . Shall ...,"['Data Science', 'Machine Learning', 'Azure ML', 'Artificial Intelligence', 'python ML', 'Ml', 'Microsoft Azure', 'Data']"
DS,Senior Data Scientist (4+ Years),4-7 Yrs ,,,"Experience with building predictive statistical, behavioral or other models via supervi...","['Natural Language Processing', 'Machine Learning', 'Deep Learning', 'Data', 'Machine', 'Languages', 'Processing', 'Process']"
DS,Data Scientist,5-10 Yrs ,,,Experience working with Text Data using transformer-based model Knowledge of NLP algori...,"['Tensorflow', 'MLOPS', 'Machine Learning', 'Deep Learning', 'Python', 'Pytorch', 'Data', 'Machine']"
DS,Data Scientist,3-6 Yrs ,,,Bachelor s Degree requiredMaster s degree preferredTechnical degrees with a concentrati...,"['Computer science', 'Data analysis', 'Data modeling', 'Neural networks', 'Analytical', 'Machine learning', 'Operations', 'Analytics']"
DS,SSE-Data Science-Early Joiner,4-7 Yrs ,,,Develop novel and scalable data systems in cooperation with our system architects that ...,"['Machine Learning', 'Python', 'SQL', 'Data Science', 'Linux', 'MA', 'Django', 'Science']"
DS,Data scientist / ML engineer -- US MNC (analytics),5-10 Yrs ,,,"Has experience working on unstructured data ( text ): Text cleaning, TFIDF, text vector...","['Python', 'Tensorflow', 'Predictive Modeling', 'Matplotlib', 'Pyspark', 'Logistic Regression', 'Natural Language Processing', 'Neural Networks']"
DS,Data Scientist,2-5 Yrs ,,,A graduation / post-graduation degree in computer science / Mathematics/Statistics (IIT...,"['Loans', 'Computer vision', 'Campaign management', 'Image processing', 'Coding', 'Machine learning', 'Digital marketing', 'Analytics']"
DS,Data Scientist,2-6 Yrs ,,,A graduation / post-graduation degree in computer science / Mathematics/Statistics (IIT...,"['Critical Thinking', 'Problem Solving', 'Machine Learning Algorithms', 'Python', 'Data Science', 'DSA', 'Logistic Regression', 'Linear Regression']"
DS,Data Scientist,2-5 Yrs ,,,"Experience with one or more of ML frameworks such as scikit-learn, NLTK, NumPy, Pandas,...","['Computer science', 'Loans', 'Computer vision', 'Campaign management', 'Image processing', 'Coding', 'Machine learning', 'Digital marketing']"
DS,Senior Data Scientist,3-7 Yrs ,,,Data Scientist with a Developer background is a added advantageMandatory skills1. Desig...,"['Data Science', 'Programming', 'SQL Database', 'Data Analytics', 'Python', 'Science', 'Senior', 'Analytics']"
DS,Sr . Data Scientist,3-8 Yrs ,,,"Experience with AWS cloud services: EC2, EMR, Redshift, SageMakerExperience with Flask,...","['deep learning', 'Data analysis', 'Neural networks', 'MySQL', 'Machine learning', 'linear regression', 'Data structures', 'Stored procedures']"
DS,Data Scientist 2 (Data Analytics),6-10 Yrs ,,,This role is in the SophosLabs Platform - Data Team and will assist in analyzing d...,"['Selection process', 'HP data protector', 'sophos', 'Diversity and Inclusion', 'Machine learning', 'Data quality', 'Data analytics', 'SQL']"
DS,Associate Data Scientist - ML & NLP,2-4 Yrs ,,,"Bachelor s or Masters degree in Physics, Math, Technology, Computer Science or related ...","['Service delivery', 'data science', 'Development Manager', 'Machine learning', 'Client engagement', 'Medical insurance', 'Recruitment', 'Python']"
DS,Data Scientist,1-2 Yrs ,,,Functional Skills Required - . Strong problem solving skills with an emphasis on produc...,"['C++', 'PMP', 'Coding', 'Project management', 'Social media', 'Predictive modeling', 'Business solutions', 'Information technology']"
DS,Data Scientist,0-2 Yrs ,,,#NAME?,"['Data Science', 'Python', 'PLSQL', 'Data Mining', 'Data Visualization', 'Data Cleansing', 'Data Analytics', 'Machine Learning']"
DS,Data Scientist II,6-9 Yrs ,,,"Qualifications: . Masters degree or higher in a quantitative field such as statistics, ...","['Data analysis', 'data science', 'GCP', 'Business analytics', 'Artificial Intelligence', 'Machine learning', 'Continuous improvement', 'SQL']"
DS,DATA SCIENTIST 2,6-9 Yrs ,,,Ideal candidates should be able to take a business or engineering problem from a PM or ...,"['Data analysis', 'C++', 'Software design', 'data science', 'Machine learning', 'microsoft', 'Analytics', 'SQL']"
DS,Principal Data Scientist,8-13 Yrs ,,,"Perform data analysis, pre-processing and feature engineering . required . to ensure qu...","['Data analysis', 'Machine learning', 'Data processing', 'Windows', 'SEO', 'microsoft', 'big data', 'SQL']"
DS,Data and Applied Scientist II,4-8 Yrs ,,,"M.Sc. in Statistics, Applied Mathematics, Applied Economics, Computer Science or...","['Supply chain', 'Supply chain management', 'Operations research', 'Data management', 'Analytical', 'microsoft', 'Business intelligence', 'Analytics']"
DS,Data and Applied Scientist,4-7 Yrs ,,,Required Qualifications . Bachelors / masters in computer science or related field or e...,"['Computer science', 'Data analysis', 'Coding', 'Machine learning', 'Agile', 'Windows', 'data visualization', 'microsoft']"
DS,Data and Applied Scientist II,4-7 Yrs ,,,You will be joining a team under the Windows and Web Experiences Team organization. Ou...,"['Computer science', 'deep learning', 'Coding', 'Machine learning', 'Agile', 'Software development life cycle', 'Windows', 'microsoft']"
DS,Data Scientist,6-11 Yrs ,,,"Required Technical Skills: . Statistics Good applied statistical skills, including know...","['Natural Language Processing', 'Computer Vision', 'Deep Learning', 'Data Science', 'Database Creation', 'Machine Learning', 'Data Warehousing Concepts', 'Python']"
DS,Senior Data Scientist,5-9 Yrs ,,,Ideal candidates should be able to take a business or engineering problem from a PM or ...,"['Data analysis', 'C++', 'Software design', 'data science', 'Machine learning', 'microsoft', 'Analytics', 'SQL']"
DS,Data & Applied Scientist 2,5-10 Yrs ,,,experience building product metrics and / or running AB experimentsExperience with expe...,"['data analysis', 'data driven', 'Okr Tracking', 'tracking metrics', 'Data', 'Metrics', 'Application', 'Tracking']"
DS,Data Scientist,0-2 Yrs ,,,". Data collection, processing and analysing the data and generating the reports provide...","['deep learning', 'data science', 'Artificial Intelligence', 'Data collection', 'Packaging', 'Data analytics', 'Python', 'Testing']"
DS,Data Scientist,5-10 Yrs ,,,"Part of advanced data analytics team, he / she must work in collaboration with experts ...","['Computer science', 'Data analysis', 'metadata', 'Analytical', 'Social networking', 'Google AdWords', 'HTML', 'HTTP']"
DS,Data Scientist ( Pune ),3-8 Yrs ,,,Job Summary: The Data Science team delivers best in class actionable business insights ...,"['Data Science', 'Data Analytics', 'Machine Learning', 'Python', 'Pivot Table', 'Predictive Modeling', 'Good Communication In English', 'Power Point Presentation']"
DS,Data Scientist,3-7 Yrs ,,,"Masters in Computer Science, Data Science, Statistics, or a related quantitative fieldP...","['Computer science', 'Data analysis', 'Construction', 'Usage', 'NoSQL', 'data science', 'Analytical', 'Machine learning']"
DS,Data Scientist,4-9 Yrs ,,,graduate degree in Data Science or another quantitative field is preferredPreferred can...,"['Natural Language Processing', 'Data Science', 'Neural Networks', 'Machine Learning', 'Deep Learning', 'Data', 'Machine', 'Process']"
DS,Senior Automation Engineer- Data Scientist,3-7 Yrs ,,,"Experience in data preprocessing, feature engineering and model evaluation . . Proficie...","['Automation', 'Linux', 'Shell scripting', 'Machine learning', 'Director', 'Application development', 'Data mining', 'Monitoring']"
DS,Senior Full Stack Data Scientist,7-10 Yrs ,,,"As our Sr. Full Stack Data Scientist (located in Pune, India), youll lead cross-fun...","['Automation', 'Manager Internal Audit', 'data science', 'Machine learning', 'Conceptualization', 'Flex', 'Algorithm development', 'Natural language processing']"
DS,Data Scientist,5-8 Yrs ,,,Experience with DataOps and MLOps pipeline development Bachelors degree in Computer Sci...,"['Computer science', 'Version control', 'Debugging', 'Machine learning', 'Healthcare', 'Application development', 'Information technology', 'Automotive']"
DS,Senior Data Scientist,5-9 Yrs ,,,"Qualifications . PhD or Masters in a quantitative / applied field (Statistics, Economet...","['Operations research', 'SAS', 'GCP', 'Analytical', 'Machine learning', 'Agile', 'Data quality', 'SQL']"
DS,Data Scientist,6-10 Yrs ,,,Required skills and qualifications: . 6 or more years of experience . in data science ...,"['IT services', 'Data analysis', 'data science', 'Machine learning', 'Data collection', 'Product design', 'Data mining', 'Analytics']"
DS,Data Scientist,5-10 Yrs ,,,Lead the data science team - drive the development and implementation of advanced da...,"['Computer vision', 'Data analysis', 'Neural networks', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'Data collection', 'Natural language processing']"
DS,Data Scientist,9-14 Yrs ,,,. 6 or more years of experience . in data science . Advanced experience in pattern rec...,"['IT services', 'Data analysis', 'data science', 'Machine learning', 'Data collection', 'Product design', 'Data mining', 'Analytics']"
DS,Senior Data Scientist,8-12 Yrs ,,,"Proficient with NLP (stemming, lemmatization, TFIDF etc.) 3+ years of professional expe...","['Analytical', 'Machine learning', 'Oncology', 'CME', 'data visualization', 'Digital marketing', 'SQL', 'Python']"
DS,Sr. Data Scientist,6-11 Yrs ,,,"As a core member of the NLP team, you will research, prototype, develop, de...","['Product management', 'SAN', 'Software design', 'Simulation', 'Open source', 'Data mining', 'Analytics', 'CRM']"
DS,Senior Data Scientist - Navi Mumbai(WFO),7-12 Yrs ,,,"Experience with MLOps Frameworks like Kubeflow, MLflow, Airflow, etc., experience with ...","['Data Science', 'Machine Learning', 'Python', 'R', 'GCP', 'Data Analytics', 'AWS', 'azure']"
DS,"Data Scientist, India",3-5 Yrs ,,,"Preferred Qualifications: . Advanced degree in applied mathematics, statistics, actuari...","['Mobile technology', 'Statistical modeling', 'Operational excellence', 'Data modeling', 'Social media', 'Machine learning', 'Actuarial', 'Data mining']"
DS,Data Scientist,3-8 Yrs ,,,"Preferred Qualifications: . Advanced degree in applied mathematics, statistics, actuari...","['Mobile technology', 'Statistical modeling', 'Operational excellence', 'Data modeling', 'Social media', 'Machine learning', 'Actuarial', 'Data mining']"
DS,Senior Data Scientist,5-9 Yrs ,,,"As a Senior Data Scientist, you will be an integral member of the technology and a...","['Product management', 'Cloud computing', 'Software design', 'Simulation', 'Contract management', 'Analytical', 'Machine learning', 'Data mining']"
DS,Data Scientist,8-10 Yrs ,,,"Advanced object-oriented programming . Hadoop, MySQL, TensorFlow, Spark . Machine learn...","['Payroll', 'Data modeling', 'MySQL', 'PHP', 'Process Lead', 'System Administrator', 'SQL', 'Salesforce']"
DS,Senior - Quantitative Research Analyst,2-5 Yrs ,,,"Structured approach of thinking and execution . Proficient in programming (e.g., Python...","['Analytical skills', 'Data analysis', 'Quantitative research', 'Test management', 'Programming', 'Customer experience', 'Research Analyst', 'SQL']"
DS,Lead Data Scientist,4-9 Yrs ,,,"Bachelors in Computer Science/ Engineering, Statistics, Math or related quantitative de...","['Python', 'SQL', 'Data Science', 'Machine Learning', 'Science', 'Machine', 'Data']"
DS,Lead Data Scientist,8-12 Yrs ,,,Reporting Structure . Part of Project Management Vertical and CoE Bachelors Degree in E...,"['Artificial Intelligence', 'Deep Learning', 'Web Scraping', 'Python', 'Data Extraction', 'Machine Learning', 'Ml', 'Intelligence']"
DS,Senior Data Scientist,4-9 Yrs ,,,. 4+ years of hands-on experience architecting and designing highly scalable and resili...,"['Computer science', 'Usage', 'People development', 'Data management', 'Performance management', 'data science', 'GCP', 'Machine learning']"
DS,Data Scientist(with python),1-3 Yrs ,,,Working experience & In-depth understanding of statistical techniques (like linear regr...,"['Data Scientist', 'Artificial Intelligence', 'Django', 'Machine Learning', 'Deep Learning', 'Python', 'Flask', 'SQL']"
DS,Data Scientist - Python,1-3 Yrs ,,,Working experience & In-depth understanding of statistical techniques (like linear regr...,"['Python', 'Data Science', 'solutions development', 'Django', 'Natural Language Processing', 'machine learning', 'Deep Learning', 'Flask']"
DS,Data Scientist,5-10 Yrs ,,,Ability to self-process the data and come out with models/ insights is a must. . Shall ...,"['Data Science', 'Al', 'Ml', 'Machine Learning', 'Python', 'Data', 'Machine', 'Science']"
DS,Data Scientist,3-8 Yrs ,,,We are currently seeking a passionate Data Scientist with a proven record of building ...,"['Text mining', 'Computer vision', 'Data analysis', 'Image processing', 'Machine learning', 'Natural language processing', 'Data mining', 'Apache']"
DS,Data Scientist,2-4 Yrs ,,,Experience in data mining . Understanding of machine-learning and operations research ....,"['C++', 'Operations research', 'Analytical', 'Machine learning', 'data visualization', 'Data mining', 'Business intelligence', 'Statistics']"
DS,Operations Research Senior Data Scientist (FMCG/CPG Domain),10-14 Yrs ,,,Proficiency in FMCG/CPG domain. Experience level : Total of 10 to 12 + years of experie...,"['Statistical analysis', 'Mathematics', 'Demand Forecasting', 'Statistics', 'Python', 'Operational Analytics', 'Market Mix Modelling', 'Operations Research']"
DS,Data Scientist,3-7 Yrs ,,,Develop and plan required analytic projects in response to business needs Should posses...,"['Data analysis', 'data science', 'Neural networks', 'Analytical', 'Machine learning', 'Data collection', 'Data mining', 'big data']"
DS,Data Scientist,1-3 Yrs ,,,. At least 1-year of experience coding in R / Python . 1 3 years of experience in buil...,"['Statistical modeling', 'tableau', 'Coding', 'Analytical', 'Machine learning', 'power bi', 'Calculus', 'data visualization']"
DS,Data Scientist,1-6 Yrs ,,,"Undertaking data collection, preprocessing and analysis Building models to address ...","['Data analysis', 'MIS', 'quality', 'Data', 'Analysis']"
DS,Data Scientist,3-5 Yrs ,,,"Requirements: MSc / PhD in Computer Science, Statistics, Engineering or related field E...","['Computer science', 'SAN', 'Statistical modeling', 'French', 'Analytical', 'Machine learning', 'Cook', 'data visualization']"
DS,Data Scientist,4-8 Yrs ,,,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc (depe...","['Graphics', 'Administration', 'Sales operations', 'Strategic planning', 'PHP', 'Entrepreneur', 'Business strategy', 'Budgeting']"
DS,Associate Vice President - Data Science,11-14 Yrs ,,,Adapting and enhancing machine learning techniques based on physical intuition abo...,"['Cloud computing', 'Data analysis', 'SAS', 'Data modeling', 'PHP', 'Perl', 'Apache', 'Data mining']"
DS,Sr Principal Data Scientist,12-18 Yrs ,,,. 12 to 18 years of industry working experience with expertise in data science and anal...,"['C++', 'Automation', 'Data analysis', 'metadata', 'Linux', 'Product service', 'Project management', 'Analytical']"
DS,Senior Data Scientist,3-8 Yrs ,,,Experience of handling various data types and structures structured and unstructured da...,"['Text mining', 'C++', 'Data analysis', 'Prototype', 'Neural networks', 'Artificial Intelligence', 'Machine learning', 'Programming']"
DS,Data Scientist,3-7 Yrs ,,,"Should be from a top institute (IITs, NITs, BITS, ISI, etc.) Must have used Python or R...","['data science', 'Machine learning', 'data visualization', 'Business case', 'Analytics', 'Financial services', 'SQL', 'Python']"
DS,Hiring Data Scientist For a renowned NBFC,10-20 Yrs ,,,Tech hiring Data scientist for a renowned financial services group and a leading indust...,"['Data Science', 'Predictive Modeling', 'Financial Services', 'Bfsi', 'Natural Language Processing', 'Model Building', 'Credit Risk Modelling', 'Machine Learning']"
DS,Data Scientist,5-7 Yrs ,,,A drive to learn and master new technologies and techniquesThey must have strong experi...,"['Computer languages', 'Data analysis', 'Business objects', 'Machine learning', 'Predictive modeling', 'Data mining', 'Business solutions', 'SQL']"
DS,Principal Engineer - Data Science,8-10 Yrs ,,,"Requirements: . . Bachelors or Masters degree in Computer Science, Math, Physics, Engin...","['Cloud computing', 'Data analysis', 'SAS', 'Data modeling', 'PHP', 'Perl', 'Apache', 'Data mining']"
DS,Sr . Data Scientist / Data Scientist,2-7 Yrs ,,,We are looking for a Data Scientist/Data Analyst who has hands-on experience with dat...,"['SAN', 'Statistical analysis', 'French', 'big data analytics', 'OOPS', 'Machine learning', 'Data structures', 'Information technology']"
DS,Data Scientist,6-11 Yrs ,,,Requirements . . Must be proficient in Python programming . . . . 4 6 years of experien...,"['Linux', 'GCP', 'Machine learning', 'Conceptualization', 'HTML', 'Monitoring', 'Analytics', 'Python']"
DS,Data Scientist / Visualizer,4-5 Yrs ,,,Perform data analytics / visualization and share the same with the research. Desired Ca...,"['tableau', 'data science', 'Data analytics', 'data visualization', 'Research', 'Business intelligence', 'Advertising', 'Forecasting']"
DS,Data Scientist- IT Manager,4-7 Yrs ,,,"As a Data Scientist, youll be using Big Data and advanced analytics to direct the e...","['Unix', 'Supply chain', 'C++', 'data science', 'Linux', 'Data management', 'Analytical', 'FMCG']"
DS,Data Scientist,4-7 Yrs ,,,At least 4+ Years of experience as a data scientist. Strong problem solving skills with...,"['Product management', 'Cloud computing', 'Software design', 'Prototype', 'Simulation', 'Contract management', 'Analytical', 'Machine learning']"
DS,SME Data Scientist,6-10 Yrs ,,,"Use predictive modelling to increase and optimize power generation, price, cost savi...","['Simulation', 'RF', 'Image processing', 'Coding', 'Project management', 'Debugging', 'Machine learning', 'Application development']"
DS,Data Scientist,4-8 Yrs ,,,Should have at- least 1 end- to- end ML project experience. Good SQL expertise Real- li...,"['Text mining', 'deep learning', 'Neural networks', 'spark', 'Machine learning', 'Forecasting', 'AWS', 'SQL']"
DS,Natural Language Processing Engineer,1-7 Yrs ,,,Proven experience as an NLP Engineer or similar roleExperience with machine learning fr...,"['software architecture', 'Software design', 'Statistical analysis', 'data science', 'Analytical', 'Machine learning', 'Data structures', 'Natural language processing']"
DS,Senior AI Engineer/Senior Data Scientist/Lead AI Engineer,8-12 Yrs ,,,Role Overview: We are seeking a highly skilled and experienced Senior Data Scientist wi...,"['Generative AI', 'Natural Language Processing', 'LLM', 'Machine Learning', 'Deep Learning', 'Python', 'SQL', 'Data']"
DS,AI Engineer/Data Scientist/Senior AI Engineer,4-8 Yrs ,,,Role Overview: We are seeking a highly skilled and experienced Senior Data Scientist wi...,"['Generative AI', 'NLP', 'LLM', 'Machine Learning', 'Deep Learning', 'Python', 'SQL', 'Senior']"
DS,Applied AI/ML Data Scientist,5-7 Yrs ,,,"Experience having worked with time-series data trends, hands-on building AI / ML models...","['Operations research', 'Publishing', 'data science', 'Machine learning', 'microsoft', 'Econometrics', 'Gaming', 'Statistics']"
DS,Principal Data Scientist,8-13 Yrs ,,,Vision . and Video AI . Fluency in C# and Python preferred . 8 . years . of professiona...,"['Computer science', 'Product quality', 'Manager Quality Assurance', 'digital content', 'Social media', 'Debugging', 'microsoft', 'Analytics']"
DS,Junior data scientist,1-3 Yrs ,,,This needs you to be proficient in either stats and maths concepts or some of the machi...,"['Data analysis', 'Operations research', 'SAS', 'Diagnostics', 'data science', 'Neural networks', 'Machine learning', 'Healthcare']"
DS,Urgent Requirement - Generative AI,5-9 Yrs ,,,Responsibilities: Integrate state-of-the-art generative AI models. Collaborate with ...,"['Generative AI', 'LLM', 'ML', 'Pytorch', 'Tensorflow', 'NLP', 'Artificial Intelligence', 'Machine Learning Algorithms']"
DS,Data Scientist,2-5 Yrs ,,,Expert in 2-3 programming languages and willing to learn more (Python & SQL - must have...,"['Data Scientist', 'Python', 'Data Science', 'Azure', 'Power BI', 'GCP', 'Pandas', 'Tableau']"
DS,Data Scientist - Ahmedabad Based Only,3-7 Yrs ,,,1. Collecting machine data to all our group companies 2. Collecting data from Customers...,"['Data Science', 'Machine Learning', 'Deep Learning', 'data scientist', 'Data Mining', 'Data', 'Machine', 'Science']"
DS,Data Scientist,7-10 Yrs ,,,"Proven experience in the consumer goods industry, or large-scale operations such as Goo...","['R', 'Artificial Intelligence', 'Certification in data science', 'Machine Learning', 'Python', 'Intelligence', 'Data', 'Machine']"
DS,Data Scientist,0-2 Yrs ,,,"Bachelor s degree (or equivalent) in statistics, applied mathematics, or related discip...","['C++', 'Operations research', 'Consulting', 'Video conferencing', 'Customer service', 'microsoft', 'Data mining', 'Business intelligence']"
DS,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP,0-5 Yrs ,,,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/Machine LearningJoi...,"['Machine Learning', 'Data Science', 'Tensorflow', 'NLP', 'Data Scientist', 'Artificial Intelligence', 'Data Modeling', 'Numpy']"
DS,EbizON|| Data Scientist,0-2 Yrs ,,,"Bachelor s degree (or equivalent) in statistics, applied mathematics, or related discip...","['C++', 'Operations research', 'Consulting', 'Video conferencing', 'Customer service', 'microsoft', 'Data mining', 'Business intelligence']"
DS,Research Scientist - Bioinformatics,0-2 Yrs ,,,"Experience in molecular biology and associated sequencing platforms, technologies, and ...","['Linux', 'data science', 'Pharma', 'Artificial Intelligence', 'Oncology', 'Perl', 'Molecular biology', 'JIRA']"
DS,Data Scientist - Data and Analytics (DNA),0-5 Yrs ,,,Bachelors or Master s degree in a quantitative discipline from a top academic program (...,"['SAS', 'Analytical', 'Consulting', 'Management consulting', 'Machine learning', 'Risk management', 'IT operations', 'Analytics']"
DS,ANIMATOR 2D,0-4 Yrs ,,,We are looking for a creative and passionate 2D Animator who has: A creative vibe a...,"['Graphics', 'Data analysis', 'Illustrator', 'Project management', 'Debugging', 'Animation', 'Photoshop', 'Adobe']"
DS,Deep Learning Engineer,0-3 Yrs ,,,Required Skills : . . . . Professional experience in computer vision and machine learni...,"['Computer vision', 'Automation', 'Image processing', 'Renewable energy', 'Artificial Intelligence', 'Machine learning', 'Application development', 'Analytics']"
DS,Data scientist,0-2 Yrs ,,,Skills Required Experience of 6 months in any statistical / ML tools - academic project...,"['Javascript', 'Deployment', 'Analytics', 'Python', 'Data']"
DS,Data scientist,0-1 Yrs ,,,"Master s Degree in Computer Science, Statistics, Applied Math or related field . 0-1 ye...","['Computer science', 'Data analysis', 'SAS', 'Machine learning', 'Data structures', 'Data processing', 'Predictive modeling', 'Pattern recognition']"
DS,Senior Data Scientist FMCG,5-9 Yrs ,,,The Senior Data Scientist is a technical leadership role with direct accountability...,"['Coding', 'GCP', 'Analytical', 'Agile', 'FMCG', 'Continuous improvement', 'Forecasting', 'Analytics']"
DS,Senior Data Scientist -Data Management,5-9 Yrs ,,,The Senior Data Scientist is a technical leadership role with direct accountability...,"['Data management', 'Coding', 'GCP', 'Analytical', 'Artificial Intelligence', 'Continuous improvement', 'Forecasting', 'Analytics']"
DS,Sr Data Scientist,2-5 Yrs ,,,Candidate should be adept at applying his/ her experience with a focus on problem solvi...,"['Computer science', 'Data modeling', 'Focus', 'Debugging', 'Machine learning', 'Healthcare', 'power bi', 'Application development']"
DS,Senior Data Scientist,3-9 Yrs ,,,Remotely collaborate with a geographically distributed team and be willing to pitch in ...,"['deep learning', 'Automation', 'GIT', 'Analytical', 'Machine learning', 'Data structures', 'Subject Matter Expert', 'SQL']"
DS,Senior Data Scientist,5-6 Yrs ,,,"Bachelor s degree in Data Science, Statistics, Machine Learning, Mathematics, Computer ...","['Computer science', 'Data analysis', 'MySQL', 'Machine learning', 'Workflow', 'Monitoring', 'SQL', 'Android']"
DS,Data Scientist,4-9 Yrs ,,,"Youll be Responsible for? Ability to design, develop and implement AI/ML algorithms A...","['Data Science', 'Natural Language Processing', 'Deep Learning', 'Predictive Modeling', 'Neural Networks', 'Computer Vision', 'Modeling', 'Networking']"
DS,Data Scientist,6-11 Yrs ,,,Looking for Data scientist 7+ years of IT experience and minimum of 5+ years of experie...,"['Data Science', 'Azure AI', 'LLM', 'Azure', 'Data Scientist', 'Aiml', '.net', 'Machine Learning']"
DS,Senior Security Data Scientist,5-9 Yrs ,,,Algorithm Development: Proven track record of designing and implementing complex algori...,"['SAN', 'Data analysis', 'Analytical', 'Machine learning', 'Agile', 'microsoft', 'Adobe', 'Python']"
DS,Data Scientist,8-9 Yrs ,,,Bachelor s degree in computer science or a related fieldMinimum 8 years of experience i...,"['Computer science', 'remediation', 'Root cause analysis', 'Data analysis', 'data science', 'Machine learning', 'Research', 'WiFi']"
DS,Data Scientist,7-12 Yrs ,,,. Must have at least 2 or 3 projects successful projects (into production with clear im...,"['SAS', 'Machine learning', 'Hypothesis Testing', 'Statistics', 'Python', 'Machine', 'Hypothesis', 'Software testing']"
DS,Sr System Reliability Engineer (Data Scientist),1-3 Yrs ,,,"Experience in predictive modeling, data science, and analysis in both batch and streami...","['Automation', 'Data modeling', 'Analytical', 'ITSM', 'Consulting', 'ITIL', 'Financial services', 'CRM']"
DS,Power BI Data Analytics & Data Scientist,1-6 Yrs ,,,"Develop various Analytics related to Supply Chain Cost, Cash, Quality, Speed, Capacit...","['Supply chain', 'Purchase', 'Usage', 'Focus', 'Strategic planning', 'power bi', 'Data analytics', 'Continuous improvement']"
DS,Senior Data Scientist,2-7 Yrs ,,,Experience Required 5+ Years,"['Data Science', 'Pyspark', 'Natural Language Processing', 'Data Engineer', 'Databricks', 'Machine Learning', 'Deep Learning', 'Data Bricks']"
DS,Data Scientist SME,7-12 Yrs ,,,"Designing, developing, delivering and maintaining AI based solutions . - Lead team to b...","['Data Science', 'Automotive', 'Docker', 'AI', 'AWS', 'Artificial Intelligence', 'Science', 'SME']"
DS,Data Scientist,8-10 Yrs ,,,Bachelor s degree in computer science or a related fieldMinimum 8 years of experience i...,"['remediation', 'Root cause analysis', 'Data analysis', 'data science', 'Machine learning', 'Research', 'WiFi', 'SQL']"
DS,Data Scientist,5-8 Yrs ,,,Alignment with counterpart for requirements and results Good analytical skills Continuo...,"['Data Science', 'EMR', 'Aws Glue', 'Machine Learning', 'Deep Learning', 'SQL', 'EC2', 'Data Scientist']"
DS,Data Scientist - WFH,5-10 Yrs ,,,5+ years of experience in Data Science. .,"['Artificial Intelligence', 'Big Data', 'Machine Learning', 'Data Science', 'Data Visualization', 'Tensorflow', 'Natural Language Processing', 'Data Mining']"
DS,Senior Data Scientist - Manufacturing Project,5-10 Yrs ,,,3+ years of industrial experience in leading data-driven projects related to processes ...,"['Manufacturing', 'Data Science', 'Predictive', 'Metallurgy', 'Data Analytics', 'Industrial Machinery', 'Data', 'Senior']"
